NGC5055_rotmod-Copy1
rad,vObs,errV,gas,disk,bulge
0.72,125.0,17.6,2.2,201.48,0.0
1.43,162.0,8.5,3.72,240.13,0.0
2.16,178.0,5.22,4.09,263.27,0.0
2.87,193.0,1.88,5.34,280.74,0.0
3.59,192.0,3.59,6.03,273.32,0.0
4.3,190.0,0.97,5.11,272.18,0.0
5.03,195.0,0.99,8.42,273.73,0.0
5.75,201.0,0.45,14.42,276.2,0.0
6.46,204.0,0.81,19.11,279.72,0.0
7.18,204.0,0.65,22.51,275.62,0.0
7.91,206.0,0.66,25.8,271.43,0.0
8.62,206.0,1.54,28.49,267.09,0.0
11.49,206.0,1.9,33.07,245.58,0.0
14.3,206.0,0.42,45.73,225.03,0.0
17.19,203.0,4.19,47.26,208.52,0.0
20.07,200.0,1.23,44.56,190.41,0.0
22.96,194.0,4.09,40.45,175.86,0.0
25.85,188.0,5.2,37.41,164.23,0.0
28.74,184.0,1.16,38.46,154.38,0.0
31.62,182.0,2.47,40.22,146.2,0.0
34.51,180.0,3.85,42.57,139.3,0.0
37.4,181.0,8.43,40.57,133.34,0.0
40.29,180.0,4.55,41.86,128.12,0.0
43.17,179.0,0.44,42.92,123.52,0.0
45.92,179.0,1.96,44.68,119.59,0.0
48.81,179.0,2.99,44.56,115.83,0.0
51.7,174.0,3.39,43.74,112.43,0.0
54.59,172.0,4.84,41.74,109.32,0.0
